0,1,2,3,4,5,6,7,8,9,10,11
에어서울,07:15ICN,09:05KIX,"직항, 01시간 50분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 440,300원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",제주항공,19:40KIX,21:40ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 441,700원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",에어서울,16:00KIX,17:55ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 441,800원~",,
에어서울,13:10ICN,15:00KIX,"직항, 01시간 50분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 442,100원~",,
에어서울,13:10ICN,15:00KIX,"직항, 01시간 50분",티웨이항공,15:30KIX,17:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 442,100원~",,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",진에어,12:00KIX,14:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 443,900원~",,
제주항공,09:10ICN,11:00KIX,"직항, 01시간 50분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 444,200원~",,
제주항공,09:10ICN,11:00KIX,"직항, 01시간 50분",09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 444,900원~",,,
이스타항공,15:05ICN,17:00KIX,"직항, 01시간 55분",제주항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 445,200원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",에어부산,18:30KIX,20:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 445,500원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",에어부산,15:25KIX,17:40ICN,"직항, 02시간 15분",성인/모든 결제수단,"왕복 445,500원~",,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",진에어,12:00KIX,14:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 447,100원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",진에어,12:00KIX,14:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 447,100원~",,
제주항공,09:10ICN,11:00KIX,"직항, 01시간 50분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 447,800원~",,
진에어,08:55ICN,10:50KIX,"직항, 01시간 55분",18:00KIX,19:55ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 448,300원~",,,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 448,500원~",,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",티웨이항공,15:30KIX,17:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 448,500원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",17:30KIX,19:30ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 448,600원~",,,
제주항공,09:10ICN,11:00KIX,"직항, 01시간 50분",피치항공,07:40KIX,09:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 449,155원~",,
에어서울,13:10ICN,15:00KIX,"직항, 01시간 50분",제주항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 449,800원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",대한항공,09:20KIX,11:15ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 450,200원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",진에어,12:00KIX,14:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 451,000원~",,
제주항공,07:00ICN,09:00KIX,"직항, 02시간 00분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 451,400원~",,
제주항공,07:00ICN,09:00KIX,"직항, 02시간 00분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 451,800원~",,
에어서울,07:15ICN,09:05KIX,"직항, 01시간 50분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 451,900원~",,
